Id,Timestamp,PurchaseValue
4ec6fab0e2fca65b2950fbc9fffa45f8,2017-12-06T17:53:59Z,261.54
8170354d9b20f5edc7747886e7fbda90,2017-12-06T17:48:19Z,206.07
5780f7258e491e462611d65f1dbd1956,2017-12-06T17:46:49Z,78.84
e5966041d824f1bdc3ac190d49a8bbec,2017-12-06T17:46:41Z,50.42
52aa2478574fe7a4a78162074eb6c987,2017-12-06T17:34:56Z,274.62
484863f99af19175727737e4cf4641d4,2017-12-06T17:33:32Z,133.25
cdefb2a09bc1171ab27b70c723bc34af,2017-12-06T17:30:14Z,485.71
c920c7fcf20aaaf40d08b9ad61a81235,2017-12-06T17:30:12Z,131.76
c36698690b851c2f575b54a34dbc7a4c,2017-12-06T17:29:03Z,376.08
26a2236dc2d3ada658e710062bbe3355,2017-12-06T17:27:28Z,98.5
ec93d13be6e176f3b893f9bcf1eecc5a,2017-12-06T17:25:23Z,50.71
9b15ab059202af7ad307984874ef5d50,2017-12-06T17:16:41Z,630.59
e27f5e35f8bfd37fb4aeedf155fb5f1f,2017-12-06T17:05:09Z,262.37
40bdd15cfe41370f12ca505cb43e5ad1,2017-12-06T17:04:33Z,106.5
36c47363e4bf492872d9d417d29be45b,2017-12-06T16:56:23Z,168.44
fa8815b493d71cdcdf274522d6d80900,2017-12-06T16:37:37Z,280.25
dae9f97a9ab4d3db4803e993551ce89a,2017-12-06T16:32:36Z,335.93
71ebbbe4e4cf68d0c0851cdb71f52832,2017-12-06T16:31:20Z,195.92
d8f382cfc8158c4a235e7da9e088356e,2017-12-06T16:28:27Z,206.25
824443d1a9a5dd10c83ff71175565ba4,2017-12-06T16:28:24Z,1032.17
6df09da9103ec49551e93232f684c323,2017-12-06T16:26:22Z,511.18
beda24037bf1f3feb2d4875373138913,2017-12-06T15:59:49Z,108.77
cd0bb34c0dd2eff4cb613cd3c1d74787,2017-12-06T15:59:37Z,218.83
28b107750b14822a86564f74da61b5d1,2017-12-06T15:57:30Z,210.96
c88134f6bd5208a355ef928e3189e918,2017-12-06T15:41:25Z,118.67
c88134f6bd5208a355ef928e3189e918,2017-12-06T15:36:32Z,101.34
2bc58e9605d78cd35e2de668e7ec3818,2017-12-06T15:26:34Z,84.1
c64470a7432e7f4c59141d97d70309c3,2017-12-06T15:12:56Z,97.46
858d7277a770727d0e41cf632edad857,2017-12-06T15:10:58Z,226.07
0c4ba00453f2c364038a27ea72534fc4,2017-12-06T14:56:30Z,238.36
60cd81770c0c09ac918784158e09c0b5,2017-12-06T14:55:36Z,133.16
a6597e66d5ceb9d080aa754772fd5a94,2017-12-06T14:53:23Z,133.4
554616cc5e418ef746b9981c91abbcfc,2017-12-06T14:36:56Z,282.49
f6583b9e08bb44a43a3627a7e85bb00d,2017-12-06T14:32:36Z,145.83
3df0e169d35577383ba93878d83221e4,2017-12-06T14:27:02Z,316.5
91b813ad50e0974adbb1461ed083237d,2017-12-06T14:15:10Z,131.18
5a1a00f01082a33b2ecc2e76850d17b9,2017-12-06T14:14:12Z,51.59
97387d9ae6021b0d44b6aab4b24b8235,2017-12-06T14:02:12Z,87.6
eba458987dc67827871c1d4d92e646e1,2017-12-06T13:44:22Z,704.3
922bdaa119d44065b17b0447255646ae,2017-12-06T13:39:54Z,295.84
922bdaa119d44065b17b0447255646ae,2017-12-06T13:35:41Z,186.84
922bdaa119d44065b17b0447255646ae,2017-12-06T13:09:46Z,222.64
8bc0d583dc9472c00a6e19f3d4f96308,2017-12-06T13:00:25Z,140.06
7c5d9b991ec6359b9c72d8b57e4c0293,2017-12-06T12:57:35Z,88.9
49c7203c6071b31b94a802767a56cd3c,2017-12-06T12:30:14Z,153.34
53d7acd414a0ed083006431c1bb3e0ec,2017-12-06T11:50:37Z,206.95
a11c7f5ee684154d67513c14370b40ae,2017-12-06T10:55:24Z,161.99
4f51e6cfaf7697a7e2b7c7fc86367d91,2017-12-06T07:19:30Z,132.98
