Id,frequency,recency,T,predicted_purchases,monetary_value,predicted_avg_purchase,predicted_total_spent
a5fadc51b1ae844ad9a70ad3cfa46a64,95.0,371.0,371.0,60.71837722862839,306.02348148148144,305.77526440532586,18566.17785134616
5ac5ed64cd99ed2a8403b7a927e644ef,23.0,222.0,250.0,14.475065505102092,771.4446153846153,763.221184635521,11047.676642480785
60c19a709e3ced2d16d7100eb1069df5,10.0,292.0,300.0,7.3716198446094605,1285.5663636363636,1249.0687359497786,9207.659881208641
dca76db00cc59dfbcdcc97c8bbc7f9f1,19.0,339.0,364.0,11.286749372856708,797.4433333333333,787.0350391638201,8883.067234698501
ca2202a96c2de6ca6b8a37a4a73fa730,7.0,12.0,20.0,13.592224056692915,655.9325000000001,635.515388984957,8638.067558559887
a719d6643a7832535de9aded2f467825,26.0,360.0,368.0,16.444873366284007,391.1464285714286,389.07988504257133,6398.369438893425
9cb19c3fc7311aae01cf16571b528001,17.0,263.0,279.0,12.44722687797387,516.35,510.60227234947536,6355.582328342924
742d5a52d4df7cb14246d7f390de5d8a,21.0,340.0,356.0,13.205288466756755,482.10565217391303,478.01435738726155,6312.317480550147
32df931a012f04da70265457d43e7da2,4.0,89.0,102.0,5.478942782262486,1219.2250000000001,1138.027874966292,6235.18961156008
5f01420f0edda6555df5ce1cc62b986c,39.0,350.0,370.0,22.16374809281035,271.1279545454546,270.84745224097054,6002.994703048354
30aa99d3357244cf38ca04eadef1473a,18.0,183.0,189.0,17.19042126088689,343.2373684210527,341.21476594294813,5865.625566994199
a62a17bb46864da2c6da691d838971b3,30.0,366.0,366.0,19.4318370955113,300.6728125000001,299.9569832724437,5828.715234611134
48a503edbaded96a3be27deee11967a1,46.0,363.0,371.0,28.675147183116675,202.91499999999996,203.20934594237139,5827.057903882373
eba458987dc67827871c1d4d92e646e1,7.0,266.0,266.0,5.75370531741305,1043.908888888889,1004.4184957397699,5779.128039845931
ed2b4332b3ca253cfbb0ffb54d3f5ae0,23.0,337.0,348.0,14.952128156198464,386.10777777777776,383.85391881044336,5739.432987312749
a92534133444b5028d12a129b1b128f7,6.0,66.0,75.0,8.987992083305864,646.0020000000001,622.9405490110612,5598.984722881626
66162981fc95e268e45bbfc738059687,9.0,253.0,264.0,7.151782141302656,784.9790909090909,763.9349538280985,5463.496359904664
f11a653807d6bde53e4757f53e098c96,16.0,316.0,329.0,10.799136010037655,509.9094444444445,503.95289229967193,5442.255826596015
2b75f007b50d6b21e1501f47dc8d632b,19.0,355.0,355.0,12.612052195322187,423.3119047619048,419.89698786403955,5295.762727599834
98f8e41f45721cbe49a3147f6cf62432,3.0,39.0,71.0,4.147392854414303,1401.225,1276.2831097470632,5293.2474495746355
2f486887c2edb2571d32c8cd15301711,9.0,336.0,343.0,6.108056080729529,875.4779999999998,850.9353004435604,5197.560536181698
f09ff1c6c4ac8ea95d8621a94bb325fd,7.0,208.0,215.0,6.443770560819782,818.1075,789.717714310211,5088.759758830025
4f672b7c5d7a4214b08ec6906163c980,14.0,208.0,216.0,12.42332211762889,411.25466666666676,406.9547118194674,5055.72947222008
ede2a476c3894cf65d1619987d148422,9.0,240.0,242.0,7.74175098236654,667.6936363636364,651.1835925033288,5041.301216963619
7863835a6120bfa52ccd665bfe03e9c8,16.0,361.0,361.0,10.520607806675132,443.8958823529412,439.399522645396,4622.75004819248
922bdaa119d44065b17b0447255646ae,8.0,144.0,144.0,9.324966245210964,497.575,486.4535627838368,4536.16305282189
cd4cb9ec252a085ed4d2d3af7c18280a,7.0,295.0,308.0,5.0789358231009585,916.4950000000001,883.2683927929518,4486.063481568931
ca84dc4660f651a11a82041300367fae,4.0,73.0,78.0,6.368683822587356,732.1999999999999,691.4125015499778,4403.387613355999
580a57e214a9d4df715accd2fe7065ba,6.0,46.0,51.0,10.478246209678373,414.44428571428574,404.5557619212229,4239.0348789546
a63d0d4fe5bc662678bbbe6fbde1d900,7.0,285.0,314.0,4.789565799808495,904.9849999999999,872.3242351577201,4178.054323055519
801266226172319918cca5963b492beb,4.0,45.0,46.0,7.786182553247293,556.4250000000001,530.2219728045284,4128.405073998979
0ae482faaa8baa024c5fcb1346c5f97e,3.0,15.0,22.0,6.872983891696102,639.9675,596.9768485793202,4103.0122640011705
