Id,frequency,recency,T,predicted_purchases,monetary_value
1d9705cdc81922b119643d926e8b11de,6.0,38.0,46.0,10.43451190512661,141.83428571428573
d24ac002f1ba9f9d4869c9a1a07620a2,15.0,319.0,326.0,10.399142053890694,89.74499999999999
765428c94ccfd7f17127a1bb12da3230,9.0,130.0,137.0,10.354278640030149,220.373
1a89258151f74319fd50778b0ed2f4f5,16.0,358.0,365.0,10.28128097549878,132.86150000000004
6bd3cf2b2bf52ee22bef14f87d1f9f5b,17.0,294.0,326.0,10.222240454032336,105.91631578947367
d6415e9e368a32ba39f756716c94e754,23.0,304.0,348.0,10.172418974162243,230.5252
c3cbbdb19ce41c5c3df16cbfb39b1ec8,10.0,154.0,166.0,10.130346450703247,92.89363636363636
e3bd9c3b75a87afe59a7d235693bd35a,16.0,352.0,365.0,10.106262811719468,114.15235294117647
2ae416321f35d9ee6670ba973a7027e0,8.0,72.0,89.0,9.98394116549319,145.78
42f0d47cbd705d7da473b5d3e5cabc6c,6.0,27.0,40.0,9.929570662684306,200.19750000000002
68f0db4c3018522a7c24607851afd762,14.0,305.0,315.0,9.849825376582471,294.268
bef6f77f9664bf346550495098cd5796,16.0,351.0,370.0,9.804687840578634,90.87705882352942
a434093fbf07b7f274ff64b472513cc3,16.0,324.0,350.0,9.792102243845404,170.43235294117648
91b813ad50e0974adbb1461ed083237d,14.0,331.0,331.0,9.782486388113458,138.6425
5afd521e378b4546fa52576528b9c1cc,15.0,341.0,352.0,9.777623324147326,245.941875
c84aa8c190410b584f7d830f41ac681a,15.0,344.0,355.0,9.723488051314172,127.49529411764706
5cde4c0e001f042b081bf18070c53f4e,13.0,290.0,296.0,9.64789175644695,213.6528571428571
23d45be9a8057f64e1103185e53e4f2a,10.0,188.0,195.0,9.558699990088453,242.3783333333333
cff00f3b67e59b8c9a89972c6cbdabf5,15.0,354.0,365.0,9.547296964830641,243.91380952380956
c505f6e87ff9782ba4ca791ae088f329,14.0,330.0,337.0,9.510724741519132,85.12812499999998
22101eef0531a7087dc997fac3d6a7c5,12.0,260.0,267.0,9.49103250660842,271.7123076923077
14f57af72e3d2a16b7b4c088cbe3196f,14.0,334.0,341.0,9.436899533496451,220.52624999999998
13cb5c06f8d3c1c18e14539c16088e21,15.0,356.0,370.0,9.377350542387191,212.20250000000001
922bdaa119d44065b17b0447255646ae,8.0,144.0,144.0,9.324966245210964,497.575
1200a4df001756f0fc97e0142c069442,11.0,231.0,239.0,9.294833225174905,414.755
47810b7c7fc24d3cf8287d03de62448b,14.0,342.0,349.0,9.292690643705646,85.79066666666667
d0ad6b624dfc37784a755144be8c76a6,14.0,333.0,344.0,9.279398449239512,148.5741176470588
b32f83615c36a983c147d57d68f20804,13.0,301.0,312.0,9.19179039032854,227.194
80ed49605a244a6b8df7a0185125075d,12.0,265.0,276.0,9.177152609307317,248.25
5c7eec1661af8e5b46f1e227fae6e1ee,17.0,315.0,355.0,9.145925584621597,185.60444444444443
2da10b67a4882e14d257c728eda763c3,14.0,351.0,358.0,9.135718125420853,136.41333333333333
25e5fe3494dcb7d0de25fcd6f6b499d9,15.0,344.0,367.0,9.11122281668851,367.59125
0b937997e6f55b43f95a14c1c6fe94e2,14.0,345.0,356.0,9.073500172022214,453.3626666666666
bcf0ea738c6bb798b7d05f2603f8fccf,15.0,332.0,359.0,9.04910146428221,183.518125
52558a8c536649d21e274da275ce1c8e,13.0,297.0,313.0,9.013279609493486,424.4114285714286
d88c16f53bf1f538e5dad005530611a9,10.0,200.0,211.0,9.00083775372509,154.59272727272727
052a3c248db5edab01d32871d5acdbfa,14.0,359.0,366.0,9.00064242816094,219.4873333333333
a92534133444b5028d12a129b1b128f7,6.0,66.0,75.0,8.987992083305864,646.0020000000001
bcf1f968bf4bf2b9241f77366a4aee86,14.0,360.0,367.0,8.984042743260432,143.4786666666667
4278f21f39173ebb616faa118c22384a,11.0,258.0,261.0,8.94883561299992,361.93333333333334
feeb6791f303fd34059c06d368f218e3,14.0,336.0,354.0,8.901578738595157,285.81375
51b3b64735d01118ff09427f8082277a,11.0,234.0,248.0,8.885969372286915,387.2169230769231
9459310958c7741a71359ef3a151b9ed,9.0,180.0,187.0,8.846049200066943,231.84499999999997
6116c18166249fed2e39ee8f3a0733cf,11.0,239.0,252.0,8.841880103239593,156.94500000000002
51bf88a0aaf6da3d94ab246c9c857017,12.0,292.0,300.0,8.798157223850989,208.4484615384615
ea623f715c09492b8a565e2b8dfff305,14.0,333.0,355.0,8.746279892444933,126.10555555555554
51ff794d843ce28fb7ca8885094979a7,6.0,86.0,90.0,8.693569087368937,442.3771428571428
8770527c316c8732cec34377f12e9299,9.0,188.0,195.0,8.645528676482108,246.02999999999997
950e9dd87391b872ae7b1afe1c778bfd,13.0,346.0,353.0,8.576180042565678,50.04
7a04d32e6941f996df21c52d1ccbc7e8,13.0,347.0,355.0,8.522919117759844,162.54928571428567
7e70507512f04b9a1fc0594534443c8e,14.0,341.0,367.0,8.424063113369535,122.90666666666668
